i,BT time(ns),BT avg time (ns),ST time(ns),ST avg time (ns)
100000,54275200,5.42752,7720300,0.77203
200000,108602900,5.43015,15662800,0.78314
300000,164078400,5.46928,23281000,0.776033
400000,217607400,5.44018,31305900,0.782648
500000,288681000,5.77362,38444500,0.76889
600000,381432900,6.35722,46426500,0.773775
700000,454974700,6.49964,53831400,0.76902
800000,512414200,6.40518,61634100,0.770426
900000,575986400,6.39985,69574700,0.773052
1000000,646317400,6.46317,77014400,0.770144
