i,BT time(ns),BT avg time (ns),ST time(ns),ST avg time (ns)
100000,52730800,5.27308,8900600,0.89006
200000,108620300,5.43102,17524200,0.87621
300000,158939800,5.29799,26414900,0.880497
400000,207688700,5.19222,36456000,0.9114
500000,289572500,5.79145,44764500,0.89529
600000,371825600,6.19709,52605200,0.876753
700000,436833600,6.24048,61463800,0.878054
800000,489079700,6.1135,67411500,0.842644
900000,540944700,6.0105,76396000,0.848844
1000000,627840400,6.2784,90990700,0.909907
