i,BT time(ns),BT avg time (ns),ST time(ns),ST avg time (ns)
100000,71032600,7.10326,84451900,8.44519
200000,71554200,3.57771,84466300,4.22332
300000,71532400,2.38441,84085100,2.80284
400000,72357100,1.80893,84701500,2.11754
500000,74631400,1.49263,87751100,1.75502
600000,78130100,1.30217,91196900,1.51995
700000,78950200,1.12786,92021100,1.31459
800000,100107400,1.25134,106736900,1.33421
900000,76235200,0.847058,89399200,0.993324
1000000,76871300,0.768713,90577900,0.905779
